"count","artist","avg_danceability","avg_duration_ms"
9,"""Cats"" 1981 Original London Cast",0.467222222222222,250318.555555556
26,"""Cats"" 1983 Broadway Cast",0.441730769230769,287280
7,"""Fiddler On The Roof” Motion Picture Chorus",0.348285714285714,328920
27,"""Fiddler On The Roof” Motion Picture Orchestra",0.425074074074074,262890.962962963
7,"""Joseph And The Amazing Technicolor Dreamcoat"" 1991 London Cast",0.467142857142857,270436.142857143
36,"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast",0.487277777777778,205091.944444444
2,"""Mama"" Helen Teagarden",0.637,135533
2,"""Test for Victor Young""",0.734,175693
122,"""Weird Al"" Yankovic",0.662786885245901,218948.196721311
15,"$NOT",0.7898,137910.466666667
2,"$atori Zoom",0.883,141519
1,"$pyda",0.514,331240
2,"$tupid Young",0.854,190572
125,"$uicideBoy$",0.749344,146386.392
13,"'In The Heights' Original Broadway Company",0.563615384615385,314023.615384615
9,"'Legally Blonde' Ensemble",0.648444444444445,304211.888888889
2,"'Legally Blonde' Greek Chorus",0.7735,361780
16,"'Til Tuesday",0.557125,255213.5
2,"((( O )))",0.41,311837
2,"(Con La Participación de Marc Anthony)",0.731,361440
4,"(G)I-DLE",0.6405,196969
10,"(Hed) P.E.",0.5892,253677.4
105,"*NSYNC",0.608742857142857,236775.152380952
8,"+44",0.4515,205250
2,"...And You Will Know Us by the Trail of Dead",0.255,273624
2,"...Bender",0.542,226000
7,"03 Greedo",0.688428571428571,220377.714285714
1,"070 Shake",0.696,398106
2,"10 Ft. Ganja Plant",0.789,236253
14,"10 Years",0.408428571428571,209857
42,"10,000 Maniacs",0.58447619047619,236012.619047619
4,"100 gecs",0.61925,126605.25
16,"101 Strings Orchestra",0.292525,173106.375
38,"10cc",0.560631578947369,298796.578947368
2,"11/5",0.929,182373
48,"112",0.677416666666667,270513.916666667
2,"12 Pianists",0.414,137733
12,"12 Stones",0.385833333333333,204280.166666667
8,"13th Floor Elevators",0.51175,155419.75
6,"1422",0.466333333333333,42615
2,"1776 Ensemble",0.5895,193206.5
1,"1776 Orchestra",0.739,113493
8,"1910 Fruitgum Company",0.757,140750
18,"1986 Omega Tribe",0.68,274628
2,"1way Frank",0.783,170867
4,"2 Brothers On The 4th Floor",0.699,257617.5
127,"2 Chainz",0.749314960629921,235681.519685039
2,"2 Crows",0.588,183554
2,"2 Guys n the Parque",0.814,93600
2,"2 Hyped Brothers & A Dog",0.906,338533
2,"2 In A Room",0.781,244133
42,"2 LIVE CREW",0.873095238095238,233437.428571429
1,"2 Pistols",0.53,274053
8,"2 Unlimited",0.69825,228208
2,"2* Sweet",0.788,1428097
3,"20 Fingers",0.879333333333333,235719.666666667
2,"20-2-Life",0.851,403467
2,"20/20",0.458,257733
6,"2002",0.229,267840.333333333
8,"2004 Hawaii Music Awards Compilation Of The Year",0.463,218640
2,"2014 ATHINAIKI DISCOGRAFIKI",0.501,189453
6,"20th Century Fox Studio Orchestra",0.346666666666667,101480.333333333
89,"21 Savage",0.78176404494382,215299.460674157
1,"22, Little Red, Tangle Eye & Hard Hair",0.789,278082
2,"220 Volt",0.834,309747
2,"22Gz",0.83,190746
2,"24 Horas",0.814,230267
4,"24hrs",0.5405,197806.5
19,"24kGoldn",0.742947368421053,162868.052631579
2,"27CLUB",0.514,155893
2,"2Baba",0.591,283000
4,"2CELLOS",0.5865,253046.5
4,"2KBABY",0.6225,147745
6,"2NE1",0.688,217679.333333333
2,"2PM",0.615,200827
272,"2Pac",0.773393382352941,262530.919117647
1,"2Pac a.k.a. Makaveli",0.893,293840
1,"2WEI",0.14,204587
4,"2nd Chapter Of Acts",0.433,169067
1,"2nd Generation Outlawz",0.516,247060
7,"2nd II None",0.907142857142857,225805.714285714
4,"2nd South Carolina String Band",0.5515,345866.5
1,"2toxic",0.764,214689
51,"3 Doors Down",0.50586274509804,232945.607843137
2,"3 Inches Of Blood",0.367,271160
2,"3 in One",0.599,202857
106,"311",0.615735849056604,209539.867924528
2,"347aidan",0.98,180139
2,"35MM: A Musical Exhibition Original Cast",0.772,289587
2,"36 Crazyfists",0.585,198600
78,"38 Special",0.529076923076923,254299.076923077
2,"3BallMTY",0.7285,211386.5
1,"3LAU",0.496,210469
5,"3LW",0.7178,272055.8
20,"3OH!3",0.68375,193600.85
3,"3T",0.669666666666667,320777.666666667
2,"3X Krazy",0.719,358467
6,"3rd Bass",0.850333333333333,245560
2,"3rd Strike",0.444,249827
4,"3年E組うた担(渚&茅野&業&磯貝&前原)",0.515,257513.5
12,"4 Non Blondes",0.528666666666667,239673.333333333
2,"4 P.M.",0.363,162093
4,"4 Skins",0.2655,158007
2,"4 Strings",0.617,190427
2,"40 Thevz",0.76,311040
9,"42 Dugg",0.846888888888889,175771
2,"42nd Street Ensemble",0.314,301040
8,"45 Grave",0.4175,162716.75
2,"4509 STARPASS Prodcutions",0.628,256981
6,"4Him",0.476333333333333,290636.333333333
2,"4Minute",0.54,192400
65,"5 Seconds of Summer",0.547307692307692,195593.076923077
178,"50 Cent",0.695039325842697,234964.08988764
12,"50 Guitars of Tommy Garrett",0.496166666666667,168044.333333333
4,"504 Boyz",0.809,212434
2,"520Hz",0,197680
4,"54-40",0.6625,211060
1,"5th Ward Boyz",0.842,352173
2,"6 Dogs",0.748,171907
8,"69 Boyz",0.851,256279.75
46,"6LACK",0.637130434782609,220217.891304348
4,"6cyclemind",0.7175,295993
26,"6ix9ine",0.733730769230769,156294.846153846
2,"7 Aurelius",0.768,214560
2,"7 FN",0.897,161684
2,"7 Seconds",0.451,189200
2,"7 Year Bitch",0.349,167333
9,"702",0.74,255970.222222222
2,"707",0.671,285533
2,"8-Bit Arcade",0.712,115177
4,"808 State",0.5535,285153.5
2,"88-Keys",0.649,195875.5
2,"88GLAM",0.764,180813
6,"88rising",0.585,209444.666666667
13,"8Ball",0.780538461538461,282367.307692308
30,"8Ball & MJG",0.793266666666667,311073.333333333
1,"8father",0.834,60056
2,"904TEZZO",0.697,96016
2,"90sFlav",0.748,126250
2,"916frosty",0.597,248803
1,"93FEETOFSMOKE",0.816,148140
1,"94 East",0.744,340440
20,"98º",0.61025,250582.6
1,"99 Neighbors",0.817,231602
2,"99 Percent",0.786,157165
6,"999",0.596,217075.333333333
6,"9lokknine",0.864333333333334,181220
2,"9tails",0.711,217182
4,"9th Wonder",0.685,259060
18,"? & The Mysterians",0.632333333333333,146582.333333333
2,"?uestlove",0.885,307120
75,"A Boogie Wit da Hoodie",0.730093333333333,200451.88
4,"A Certain Ratio",0.695,344633
104,"A Day To Remember",0.402596153846154,207746.153846154
2,"A Few Good Men",0.499,310107
2,"A Fine Frenzy",0.549,268800
42,"A Flock Of Seagulls",0.512666666666667,243382.285714286
2,"A Foot In Coldwater",0.444,311867
8,"A Great Big World",0.4695,243813.5
2,"A Guy Called Gerald",0.683,267107
2,"A Heart Beats",0.507,146173
2,"A Jam Session At Victor",0.717,178907
3,"A L E X",0.792666666666667,169956.333333333
1,"A Look At Yesterday",0.542,137920
59,"A Perfect Circle",0.519525423728813,251080.389830509
2,"A Priori",0.303,215867
6,"A R I Z O N A",0.676,182859.666666667
6,"A Rocket To The Moon",0.390666666666667,210991
8,"A Skylit Drive",0.25275,210366.75
2,"A Static Lullaby",0.555,200240
8,"A Taste Of Honey",0.75475,280870
4,"A Thousand Horses",0.4905,205347
4,"A Touch Of Class",0.6755,181186.5
3,"A Tree Grows in Brooklyn Ensemble",0.489,164911.333333333
1,"A Tree Grows in Brooklyn Orchestra",0.261,302533
136,"A Tribe Called Quest",0.827669117647059,228573.235294118
2,"A Tribe Called Red",0.658,219853
2,"A Winged Victory for the Sullen",0.0804,266840
1,"A$AP ANT",0.9,236227
