DATE,TMAX,TMIN,AWND
2024-01-01,56,33,17
2024-01-02,61,33,10
2024-01-03,106,39,35
2024-01-04,106,17,41
2024-01-05,94,11,57
2024-01-06,78,22,38
2024-01-07,83,22,28
2024-01-08,94,50,66
2024-01-09,100,33,63
2024-01-10,67,22,45
2024-01-11,78,28,44
2024-01-12,61,-49,27
2024-01-13,-49,-88,64
2024-01-14,-43,-88,31
2024-01-15,-10,-77,43
2024-01-16,-16,-88,17
2024-01-17,78,-16,36
2024-01-18,89,11,34
2024-01-19,50,6,38
2024-01-20,50,-5,16
2024-01-21,111,39,24
2024-01-22,128,94,44
2024-01-23,122,56,25
2024-01-24,139,61,40
2024-01-25,122,61,43
2024-01-26,133,56,19
2024-01-27,172,100,52
2024-01-28,189,83,24
2024-01-29,150,94,13
2024-01-30,139,89,21
2024-01-31,128,100,10
2024-02-01,156,78,36
2024-02-02,128,22,39
2024-02-03,128,-10,9
2024-02-04,122,-21,24
2024-02-05,94,61,20
2024-02-06,111,61,16
2024-02-07,106,44,16
2024-02-08,106,33,16
2024-02-09,78,44,23
2024-02-10,122,17,4
2024-02-11,128,44,43
2024-02-12,117,17,22
2024-02-13,67,6,12
2024-02-14,100,17,23
2024-02-15,106,44,45
2024-02-16,83,28,38
2024-02-17,72,39,37
2024-02-18,100,39,18
2024-02-19,117,56,22
2024-02-20,117,39,12
2024-02-21,111,78,47
2024-02-22,156,56,13
2024-02-23,156,17,9
2024-02-24,139,17,10
2024-02-25,117,56,39
2024-02-26,83,17,37
2024-02-27,83,17,56
2024-02-28,117,83,85
2024-02-29,106,11,55
2024-03-01,72,6,58
2024-03-02,50,6,43
2024-03-03,50,11,50
2024-03-04,44,11,34
2024-03-05,83,-10,22
2024-03-06,89,-38,16
2024-03-07,111,-21,8
2024-03-08,156,-21,5
2024-03-09,117,33,71
2024-03-10,117,50,72
2024-03-11,89,67,55
2024-03-12,117,28,41
2024-03-13,117,22,8
2024-03-14,172,0,26
2024-03-15,217,28,38
2024-03-16,244,33,7
2024-03-17,211,28,10
2024-03-18,244,39,7
2024-03-19,183,61,20
2024-03-20,139,83,34
2024-03-21,172,94,31
2024-03-22,139,61,13
2024-03-23,117,39,25
2024-03-24,122,39,21
2024-03-25,111,67,35
2024-03-26,128,61,29
2024-03-27,133,72,54
2024-03-28,94,61,68
2024-03-29,161,22,36
2024-03-30,183,33,37
