A1a,A1b,A2a,A2b,A2c,A2d,A2e,A2f,A2g,A2h,A3a,A3b,A3c,A3d,A3e,A3f,A3g,A3h,A3i,A3j,A3k,A3l,A3m,A4,A4ai,A4aii,A4aiii,A4aiv,A4av,A4avi,A4avii,B1a,B1b,B2a,B2b,B2c,B2d,B3a,B3b,B3c,B3d,B4a,B4b,B4c,B4d,B5a,B5b,B5c,B5d,B6,B7a,B7b,B7c,B7d,B7e,B8,B8ai,B8aii,B8aiii,B8aiv,B8av,B8avi,B8avii,B9,C1a,C1b,C1c,C1d,C1e,C1f,C1g,C2,C3,C4a,C4b,C4c,C4d,C4e,C4f,C4g,C4h,C4i,C4j,C4k,C4l,c4m,C4n,C4o,C4ii,C5,C6,C6ai,C6aii,C6aiii,C6aiv,C6av,C6avi,C6avii,C6aviii,C6aix,C6ax,C6axi,C7,C8,C9,D3,D8,D14,AgencySize
2,5,1,1,1,2,1,1,3,1,6,7,6,5,4,3,3,4,1,3,3,3,4,3,,,,,,,,2,1,1,1,1,2,1,1,1,1,5,3,3,4,2,1,1,1,3,,,,,,1,1,1,1,1,1,1,,2,1,4,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,1,2,,2,4,2,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,3,,,,,,,,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,,,,,,,,,,,,1,1,1,2,3,2,3
6,6,3,3,3,4,2,4,4,4,7,5,7,4,5,4,2,5,7,7,6,6,7,3,,,,,,,,7,7,1,1,1,2,4,1,2,4,4,5,1,4,4,4,2,4,2,,,,,,1,1,1,1,1,,,,2,3,7,7,1,2,4,4,1,1,4,4,2,3,2,2,1,1,1,1,1,1,3,1,1,2,1,2,,,,,,,,,,,,1,1,2,1,3,2,3
7,7,7,7,4,7,1,7,7,,7,7,7,6,7,7,7,7,7,7,7,7,7,3,,,,,,,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,1,7,7,2,,,,,,2,,,,,,,,5,2,7,7,7,4,4,4,1,1,5,5,3,5,5,5,1,2,1,1,1,5,5,1,1,1,1,1,1,,,,1,1,1,1,1,1,,2,2,,1,2,2,3
7,7,5,7,5,7,1,5,7,6,6,6,6,4,4,4,3,4,6,5,6,7,7,1,,1,,,,,,7,5,1,1,1,1,4,4,4,2,7,7,4,7,4,4,1,1,3,,,,,,1,1,1,1,1,1,1,1,4,2,5,6,1,1,3,8,1,1,4,3,1,2,2,3,1,2,1,1,1,1,2,1,2,2,1,2,,,,,,,,,,,,1,2,,1,2,2,3
1,3,2,1,2,5,2,3,2,1,3,2,2,2,4,2,3,1,1,3,3,2,2,3,,,,,,,,2,5,2,2,2,8,2,2,2,1,1,2,2,2,2,1,1,1,1,,,,1,,1,1,,1,1,1,1,,3,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,2,,,,,,,,,,,,1,2,,2,3,2,3
1,1,2,2,1,1,1,1,1,1,2,2,1,2,2,1,1,2,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,2,,,,,,,,,,,,1,1,1,2,3,2,3
4,4,3,2,2,3,1,4,5,4,3,5,3,3,6,3,3,4,4,4,4,4,5,3,,,,,,,,3,4,3,3,3,2,3,2,2,1,3,3,4,4,3,2,1,1,3,,,,,,1,1,,1,,,,,3,2,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,,,,,,,,,,,,1,2,,1,3,2,3
1,1,1,1,1,2,2,1,2,1,1,3,1,3,,2,8,3,1,1,2,1,1,3,,,,,,,,1,1,1,1,1,1,2,2,8,1,3,3,1,1,1,1,1,1,2,,,,,,3,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,2,,,,,,,,,,,,1,1,1,1,4,2,3
2,2,2,2,2,1,1,2,3,2,3,3,4,3,4,2,2,3,4,3,3,3,3,2,1,1,,,,,,4,3,4,4,4,4,2,3,3,2,3,3,4,4,2,2,2,2,1,,,,,1,2,,,,,,,,5,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,2,,,,,,,,,,,,1,1,4,2,4,2,3
1,,2,1,1,1,1,1,5,1,2,2,4,5,5,3,4,3,3,2,2,3,4,3,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,,,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,2,,,,,,,,,,,,1,2,,1,2,2,3
2,3,2,2,2,3,3,6,4,2,2,3,4,4,4,5,5,5,4,4,4,3,3,3,,,,,,,,4,5,5,3,5,5,3,3,3,1,3,3,7,4,3,5,6,2,1,,,,,1,1,1,1,1,,1,,,2,3,3,3,4,2,2,1,1,1,5,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,1,1,2,2,3,2,3
